url_length,has_https,num_dots,has_ip,num_hyphens,num_slashes,has_at,has_subdomain,label
48,0,2,0,6,3,0,0,1
45,1,2,0,6,3,0,0,1
26,1,1,0,0,3,0,0,1
30,1,2,0,0,3,0,0,1
36,0,1,0,0,3,0,0,1
79,1,3,0,4,3,0,1,1
38,1,2,0,2,3,0,0,1
40,1,2,0,5,3,0,0,1
43,1,2,0,4,3,0,0,1
31,1,2,0,0,3,0,0,1
42,1,2,0,3,3,0,0,1
40,1,2,0,3,3,0,0,1
41,1,2,0,2,3,0,0,1
32,1,2,0,0,3,0,0,1
38,1,2,0,3,3,0,0,1
36,1,2,0,2,3,0,0,1
38,1,2,0,3,3,0,0,1
35,1,2,0,2,3,0,0,1
41,1,2,0,4,3,0,0,1
36,1,2,0,2,3,0,0,1
45,1,2,0,4,3,0,0,1
36,1,2,0,1,3,0,0,1
42,1,2,0,4,3,0,0,1
42,1,2,0,3,3,0,0,1
42,1,2,0,6,3,0,0,1
41,1,2,0,2,3,0,0,1
49,1,2,0,5,3,0,0,1
39,1,2,0,3,3,0,0,1
41,1,2,0,2,3,0,0,1
27,1,1,0,0,3,0,0,1
100,1,2,0,0,3,0,0,1
48,1,2,0,3,3,0,0,1
20,1,1,0,0,3,0,0,1
32,1,2,0,0,3,0,0,1
73,1,3,0,4,4,0,1,1
94,1,1,0,2,5,0,0,1
33,0,1,0,0,4,0,0,1
75,1,3,0,4,4,0,1,1
70,1,3,0,0,5,0,1,1
74,1,2,0,0,7,0,0,1
1959,1,5,0,0,23,0,1,1
57,1,3,0,2,4,0,1,1
49,1,3,0,0,4,0,1,1
1915,1,2,0,0,35,0,0,1
33,0,2,0,0,4,0,0,1
1955,1,5,0,0,20,0,1,1
1955,1,5,0,0,27,0,1,1
1523,1,2,0,0,25,0,0,1
1756,1,5,0,0,27,0,1,1
56,1,1,0,0,6,0,0,1
39,1,1,0,0,4,0,0,1
47,1,2,0,0,4,0,0,1
52,1,2,0,0,4,0,0,1
52,1,2,0,0,4,0,0,1
48,1,2,0,0,4,0,0,1
66,1,3,0,1,4,0,1,1
81,1,1,0,0,5,0,0,1
22,0,1,0,1,3,0,0,1
70,1,3,0,2,4,0,1,1
42,1,3,0,0,5,0,1,1
45,1,3,0,2,3,0,1,1
28,1,2,0,0,3,0,0,1
22,1,1,0,0,3,0,0,1
21,1,1,0,0,3,0,0,1
41,1,2,0,0,4,0,0,1
33,1,2,0,1,4,0,0,1
39,1,2,0,4,3,0,0,1
47,1,2,0,6,3,0,0,1
38,1,2,0,2,3,0,0,1
36,1,2,0,3,3,0,0,1
40,1,2,0,4,3,0,0,1
35,1,2,0,1,3,0,0,1
41,1,2,0,3,3,0,0,1
45,1,2,0,4,3,0,0,1
